,topology
0,inf
1,0.7578006872961992
2,0.7575292506906935
3,0.7575236348109969
4,0.7572725860259414
5,0.21484114783157668
6,0.21295638067079828
7,0.11027752861879658
8,0.11024582500569917
9,0.10760523296230318
10,0.10691964354306754
11,0.06357549049465779
12,0.06212318515209557
13,0.061990531894502536
14,0.061186776886100316
15,0.06095667307298103
16,0.054649648678697337
17,0.0495909219047215
18,0.04944911708919178
19,0.049065690362802
20,0.04725262535428503
21,0.046083739777895184
22,0.044425640841066184
23,0.04241267532050698
24,0.04097888242732511
25,0.03857261164917724
26,0.038197420185911816
27,0.03629748751635158
28,0.036236736716312466
29,0.0362216193938943
30,0.0341708187659601
31,0.03371190745896768
32,0.0322384811788783
